clientenombre;clienteemail;clientetelefono;clienteclave;deliverynombre;deliveryvigente;deliverytelefono;deliverytiempo;deliverypreciounitario;deliverypreciomensual;deliveryprecioanual;despachadornombre;despachadortelefono
Antonio Rivera;Antonio.Rivera@bbdduc.utopia;56994087603;JTWDPFHP41;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Jordan Warren;56475496149
Diego Fernandez;Diego.Fernandez@bbdduc.utopia;56984559741;HKZBAUXP50;FoodNow;TRUE;56992140878;10;2400;8832;95385;Eleanor Watson;56416187242
Angeles Monzon;Angeles.Monzon@bbdduc.utopia;56997824629;GDPIPZUA18;PedidosNow;FALSE;56981144608;2;900;3060;32313;Charles Butler;56355800161
Jose Dauber;Jose.Dauber@bbdduc.utopia;56972922150;EPYMMUCO73;UbreFoods;FALSE;56933034573;30;300;1044;10022;Isaac Reed;56765003948
Santiago Garcia;Santiago.Garcia@bbdduc.utopia;56952755951;MEJRJSPC60;ComidaAhora;TRUE;56911783154;15;3600;13968;135768;Jose Coleman;56891052765
Agustin Matte;Agustin.Matte@bbdduc.utopia;56911904638;JQMUGFRS73;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Penelope Murphy;56921126580
Humberto Gomez;Humberto.Gomez@bbdduc.utopia;56917734245;LPTHAFZZ96;UbreFoods;FALSE;56933034573;30;300;1044;10022;Alexander Robinson;56025113201
Ignacio Mellado;Ignacio.Mellado@bbdduc.utopia;56929043134;GHZTVCGO25;UbreFoods;FALSE;56933034573;30;300;1044;10022;Benjamin Jackson;56343054881
Ignacia Rolando;Ignacia.Rolando@bbdduc.utopia;56975853566;BFMTFREO37;UbreFoods;FALSE;56933034573;30;300;1044;10022;Camila Green;56038948627
Nicolas Plaza;Nicolas.Plaza@bbdduc.utopia;56948382969;OCDLAPZJ78;Balloon;FALSE;56936853345;20;4500;15120;150595;Cole Palmer;56175737725
Abel Gandolfi;Abel.Gandolfi@bbdduc.utopia;56959418199;IFJBWGKD57;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Jaxon Hunt;56483523311
Andrea Guevara;Andrea.Guevara@bbdduc.utopia;56920906448;KFDOYAQS32;FastDelivery;TRUE;56929246270;80;1500;5340;62798;William Moore;56395625093
Eduardo Cortez;Eduardo.Cortez@bbdduc.utopia;56919173831;UPCEULWZ31;FoodNow;TRUE;56992140878;10;2400;8832;95385;Carter Adams;56108433226
Humberto Hormann;Humberto.Hormann@bbdduc.utopia;56922739885;IRGIXRUF55;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Colton Cox;56420364256
Ignacio Conejeros;Ignacio.Conejeros@bbdduc.utopia;56996425322;HTTBPQES86;Balloon;FALSE;56936853345;20;4500;15120;150595;Evelyn Garcia;56771808090
Ignacia Greene;Ignacia.Greene@bbdduc.utopia;56950298097;KIIWHWBM22;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Madelyn Henderson;56410090443
Nicolas Munoz;Nicolas.Munoz@bbdduc.utopia;56920134472;WLZIRQFV21;NotRappido;TRUE;56968424843;60;3300;11352;133499;Eli Howard;56192776543
Alejandro Daroca;Alejandro.Daroca@bbdduc.utopia;56969171652;TAOVJQJH93;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Jonathan Richardson;56093787321
Paz Egnem;Paz.Egnem@bbdduc.utopia;56998928895;EBTDEAAF69;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Zoey Hughes;56390479483
Andres Barrera;Andres.Barrera@bbdduc.utopia;56970163398;BRQSGRRG39;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Everly Turner;56849921404
Antonio Larrain;Antonio.Larrain@bbdduc.utopia;56986608501;ZYBJKZIU10;Speed;TRUE;56953588069;5;5400;20952;233824;Alexa Perry;56161608816
Andres Gallardo;Andres.Gallardo@bbdduc.utopia;56987751736;JNAKMRKL13;Speed;TRUE;56953588069;5;5400;20952;233824;Lucy Myers;56637952429
Andres Ruiz;Andres.Ruiz@bbdduc.utopia;56999974951;VNNIABHH84;PedidosNow;FALSE;56981144608;2;900;3060;32313;Carter Adams;56108433226
Yerhov Silberberg;Yerhov.Silberberg@bbdduc.utopia;56958595412;XXQOOUHA71;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Camila Green;56038948627
Diaz Barrera;Diaz.Barrera@bbdduc.utopia;56979797000;TJPRYLFO57;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Jordan Warren;56475496149
Ozzy Baldini;Ozzy.Baldini@bbdduc.utopia;56918496384;AZOILMWX26;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Isaac Reed;56765003948
Ernst Bustos;Ernst.Bustos@bbdduc.utopia;56990556669;DJWMAAZF15;FoodBasics;FALSE;56937287561;10;5400;17496;193155;David Carter;56198561844
Javier Madrid;Javier.Madrid@bbdduc.utopia;56983532648;DMKHRKER16;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Hunter Nelson;56439397379
Jesus Estremadoyro;Jesus.Estremadoyro@bbdduc.utopia;56939814656;DVROGVPU77;DCCRappi;FALSE;56928374652;10;1300;4420;53039;Sebastian Wright;56962138308
Enrique Costa;Enrique.Costa@bbdduc.utopia;56944727920;KJXDCTDA49;Speed;TRUE;56953588069;5;5400;20952;233824;Grace Phillips;56727351441
Jesus Valera;Jesus.Valera@bbdduc.utopia;56982456563;OVQGTEMW63;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Jonathan Richardson;56093787321
Eduardo Gonzalez;Eduardo.Gonzalez@bbdduc.utopia;56980225681;TNSZDDIV86;UbreFoods;FALSE;56933034573;30;300;1044;10022;Penelope Murphy;56921126580
Andres Saavedra;Andres.Saavedra@bbdduc.utopia;56937385754;QCUMKMGG62;Speed;TRUE;56953588069;5;5400;20952;233824;Jack Long;56499608497
Jesus Bahamonde;Jesus.Bahamonde@bbdduc.utopia;56942449591;HIWUOGZH55;EsquinaShop;FALSE;56994692936;15;600;1992;19601;Avery Baker;56688800416
Javier Arias;Javier.Arias@bbdduc.utopia;56952403273;GFIMBFZC49;SlowDelivery;TRUE;56910974241;4;3300;11484;136429;Thomas Bell;56681560752
Paz Pena;Paz.Pena@bbdduc.utopia;56979457945;SVPRLIVA18;Balloon;FALSE;56936853345;20;4500;15120;150595;Ryan Mitchell;56477780729
Andres Meza;Andres.Meza@bbdduc.utopia;56918693660;FCQSQMBZ95;FastDelivery;TRUE;56929246270;80;1500;5340;62798;Chloe Cooper;56787334517
Elena Morales;Elena.Morales@bbdduc.utopia;56991800035;XHXSQNOR32;ATuCasa;TRUE;56952133575;30;1800;6768;79591;Clara Foster;56876456365
Robinson Hermosilla;Robinson.Hermosilla@bbdduc.utopia;56962202135;KZJMIZVJ61;UbreFoods;FALSE;56933034573;30;300;1044;10022;Nora Simmons;56648572744
