id;cliente;sucursal;delivery;despachador;plato;fecha;hora;estado
1;Antonio.Rivera@bbdduc.utopia;Maintenci—n;ATuCasa;Jordan Warren;0;19-12-23;14:57:50;Cliente cancela 
3;Ignacia.Rio@bbdduc.utopia;Estado;FoodBasics;Ava Davis;49  81;03-06-23;17:22:11;restaurant cancela
4;Bruno.Rico@bbdduc.utopia;Apoquindo;ATuCasa;Alexander Robinson;92;02-03-23;6:08:06;entregado a cliente
6;Elias.Santibanez@bbdduc.utopia;Grecia;UbreFoods;Camila Green;58  82;29-01-23;23:22:45;Cliente cancela 
8;Andres.Balzan@bbdduc.utopia;Grecia;FoodBasics;John Brooks;5  6;15-09-23;14:50:58;restaurant cancela
7;Nicolas.Zambrano@bbdduc.utopia;Maintenci—n;Balloon;Eli Howard;1  19  56  6;23-09-23;9:18:36;entregado a cliente
10;Angeles.Monzon@bbdduc.utopia;Maintenci—n;PedidosNow;Charles Butler;7  26  28;11-05-23;20:27:25;entregado a cliente
12;Santiago.Garcia@bbdduc.utopia;Estado;ComidaAhora;Jose Coleman;83;26-07-23;4:09:58;Cliente cancela 
13;Agustin.Matte@bbdduc.utopia;Apoquindo;FastDelivery;Penelope Murphy;91;04-10-23;22:49:09;restaurant cancela
19;Andrea.Guevara@bbdduc.utopia;Estado;FastDelivery;William Moore;77  22;20-05-23;2:01:55;entregado a cliente
15;Ignacio.Mellado@bbdduc.utopia;Maintenci—n;UbreFoods;Benjamin Jackson;2;02-02-23;22:11:38;entregado a cliente
16;Ignacia.Rolando@bbdduc.utopia;Maintenci—n;UbreFoods;Camila Green;20  41  10;04-10-23;10:30:13;delivery cancela 
17;Nicolas.Plaza@bbdduc.utopia;Maintenci—n;Balloon;Cole Palmer;6;16-07-23;12:52:44;Cliente cancela 
18;Abel.Gandolfi@bbdduc.utopia;Grecia;ATuCasa;Jaxon Hunt;21;05-03-23;15:20:47;entregado a cliente
20;Eduardo.Cortez@bbdduc.utopia;Apoquindo;FoodNow;Carter Adams;24  91  89;20-10-23;8:30:56;en preparacion 
21;Humberto.Hormann@bbdduc.utopia;Viel;SlowDelivery;Colton Cox;93;28-03-23;22:35:38;Cliente cancela 
22;Ignacio.Conejeros@bbdduc.utopia;OHiggins;Balloon;Evelyn Garcia;48;08-07-23;15:20:40;restaurant cancela
23;Ignacia.Greene@bbdduc.utopia;Prat;ATuCasa;Madelyn Henderson;93;29-09-23;23:27:09;entregado a cliente
