email;nombre;estado;ultimopago;fecha;ciclo
Abel.Gandolfi@bbdduc.utopia;SlowDelivery;cancelada;153216;23-01-24;anual
Nicolas.Zambrano@bbdduc.utopia;EsquinaShop;cancelada;24805;17-01-23;anual
Humberto.Gomez@bbdduc.utopia;ATuCasa;Vigente;155520;03-03-23;anual
Pablo.Gonzalez@bbdduc.utopia;PedidosNow;Vigente;174389;27-02-23;anual
Eduardo.Cortez@bbdduc.utopia;FoodNow;Vigente;17280;20-01-24;mensual
Ozzy.Baldini@bbdduc.utopia;EsquinaShop;Vigente;1080;21-04-23;mensual
Enrique.Reyes@bbdduc.utopia;PedidosNow;cancelada;7812;28-01-23;mensual
Macarena.Saldana@bbdduc.utopia;NotRappido;Vigente;9720;13-03-23;mensual
Nicolas.Ayala@bbdduc.utopia;FoodNow;cancelada;193536;04-03-23;anual
Jesus.Valera@bbdduc.utopia;DidiEats;Vigente;51617;10-01-24;anual
Andrea.Guevara@bbdduc.utopia;FastDelivery;Vigente;7812;22-04-23;mensual
Antonio.Rivera@bbdduc.utopia;FoodBasics;cancelada;55728;27-04-24;anual
Paz.Egnem@bbdduc.utopia;SlowDelivery;Vigente;1080;02-03-23;mensual
Andres.Ramirez@bbdduc.utopia;FastDelivery;Vigente;155520;01-05-23;anual
Eduardo.Osorio@bbdduc.utopia;Speed;cancelada;214967;01-02-24;anual
Andres.Montt@bbdduc.utopia;DCCRappi;cancelada;24805;11-04-24;anual
Paz.Egnem@bbdduc.utopia;Balloon;cancelada;22116;25-01-24;mensual
Nicolas.Crisosto@bbdduc.utopia;FastDelivery;Vigente;114307;16-04-24;anual
Nicolas.Zambrano@bbdduc.utopia;PedidosNow;cancelada;55728;25-01-23;anual
Alejandro.Diaz@bbdduc.utopia;DCComida;Vigente;78744;10-02-24;anual
Ignacio.Gonzalez@bbdduc.utopia;SlowDelivery;cancelada;15960;30-04-23;mensual
Santiago.Garcia@bbdduc.utopia;ATuCasa;Vigente;5400;01-04-23;mensual
Jesus.Bahamonde@bbdduc.utopia;SlowDelivery;Vigente;16200;16-03-24;mensual
Javier.Arias@bbdduc.utopia;FastDelivery;cancelada;7812;13-04-24;mensual
Ignacio.Gonzalez@bbdduc.utopia;FastDelivery;cancelada;51617;04-02-24;anual
Eduardo.Cortez@bbdduc.utopia;SlowDelivery;Vigente;12000;01-02-24;mensual
Agustin.Matte@bbdduc.utopia;ComidaAhora;Vigente;2088;15-02-24;mensual
Alejandro.Benitez@bbdduc.utopia;SlowDelivery;cancelada;9720;07-04-23;mensual
Yan.Zhung@bbdduc.utopia;SlowDelivery;Vigente;1080;28-01-23;mensual
Ignacia.Rolando@bbdduc.utopia;ATuCasa;cancelada;174389;04-03-23;anual
Eduardo.Palacios@bbdduc.utopia;ATuCasa;Vigente;214967;25-01-23;anual
Ignacia.Ruiz@bbdduc.utopia;FoodBasics;cancelada;5400;27-01-24;mensual
Ignacio.Conejeros@bbdduc.utopia;EsquinaShop;Vigente;78744;13-04-24;anual
Antonella.Roncagliolo@bbdduc.utopia;NotRappido;cancelada;174389;16-01-23;anual
Pablo.Muse@bbdduc.utopia;FoodNow;Vigente;114307;11-01-24;anual
Antonia.Contreras@bbdduc.utopia;NotRappido;cancelada;5400;05-03-24;mensual
Pedro.Correa@bbdduc.utopia;PedidosNow;Vigente;24805;25-03-23;anual
Paz.Egnem@bbdduc.utopia;SlowDelivery;cancelada;167961;16-04-24;anual
Jesus.Bahamonde@bbdduc.utopia;UbreFoods;Vigente;51617;30-04-23;anual
