id;cliente;email;telefono;clave
1;Agustin Matte;Agustin.Matte@bbdduc.utopia;56911904638;JQMUGFRS73
2;Agustin Reyes;Agustin.Reyes@bbdduc.utopia;56972317149;SFCGUHRR74
3;Alejandro Benitez;Alejandro.Benitez@bbdduc.utopia;56948349144;NADGGMGN83
4;Alejandro Daroca;Alejandro.Daroca@bbdduc.utopia;56969171652;TAOVJQJH93
5;Alejandro Sierra;Alejandro.Sierra@bbdduc.utopia;56953951328;DQJGQVPX81
6;Alejandro Vicencio;Alejandro.Vicencio@bbdduc.utopia;56938142982;ADKLCEIF71
7;Alfredo Catalan;Alfredo.Catalan@bbdduc.utopia;56953813429;VLLDNFCW84
8;Alonso Valladares;Alonso.Valladares@bbdduc.utopia;56973662532;RIHZWLYZ84
9;Alonso Zanni;Alonso.Zanni@bbdduc.utopia;56994570022;IEBVNYXI43
10;Andrea Guevara;Andrea.Guevara@bbdduc.utopia;56920906448;KFDOYAQS32
11;Andrea Moya;Andrea.Moya@bbdduc.utopia;56924197128;ORWQDFOJ71
12;Andrea Renftel;Andrea.Renftel@bbdduc.utopia;56982568099;WKYSPBCM79
13;Andrea Videla;Andrea.Videla@bbdduc.utopia;56950618151;WVSVGUEE64
14;Andres Balzan;Andres.Balzan@bbdduc.utopia;56952442400;TKWWHWKO40
15;Andres Barrera;Andres.Barrera@bbdduc.utopia;56970163398;BRQSGRRG39
16;Andres Benavides;Andres.Benavides@bbdduc.utopia;56990161158;OXSMRDNJ12
17;Andres Cortes;Andres.Cortes@bbdduc.utopia;56960848445;PDOXXLPX97
18;Andres Gallardo;Andres.Gallardo@bbdduc.utopia;56987751736;JNAKMRKL13
19;Andres Mendez;Andres.Mendez@bbdduc.utopia;56945479777;RJQIXKTP45
20;Andres Meza;Andres.Meza@bbdduc.utopia;56918693660;FCQSQMBZ95
21;Andres Montt;Andres.Montt@bbdduc.utopia;56948744007;QAJNFGOW94
22;Andres Ramirez;Andres.Ramirez@bbdduc.utopia;56916929795;XBMEENCU58
23;Andres Reinhardt;Andres.Reinhardt@bbdduc.utopia;56964549056;BJIWZQTW63
24;Andres Saavedra;Andres.Saavedra@bbdduc.utopia;56937385754;QCUMKMGG62
25;Andres Sanchez;Andres.Sanchez@bbdduc.utopia;56949344433;YENSNRNO61
